mood,energy,time,day,previous_activity,recommendation
happy,medium,morning,weekend,relax,study
happy,high,evening,weekend,socialize,socialize
tired,low,afternoon,weekend,relax,study
tired,low,morning,weekday,relax,relax
tired,high,morning,weekday,exercise,exercise
stressed,high,afternoon,weekday,sleep,relax
stressed,medium,night,weekend,exercise,sleep
happy,medium,evening,weekday,sleep,relax
stressed,low,morning,weekday,sleep,relax
stressed,high,morning,weekend,socialize,exercise
happy,low,morning,weekend,study,relax
tired,medium,morning,weekday,exercise,study
happy,medium,night,weekend,study,sleep
tired,high,evening,weekend,study,socialize
tired,medium,evening,weekday,sleep,relax
happy,medium,afternoon,weekday,study,study
happy,low,night,weekday,exercise,sleep
stressed,low,afternoon,weekend,sleep,relax
tired,low,afternoon,weekday,sleep,study
stressed,high,afternoon,weekend,study,relax
tired,low,evening,weekday,socialize,relax
stressed,medium,afternoon,weekday,relax,relax
happy,low,night,weekday,relax,sleep
happy,high,morning,weekend,study,exercise
happy,medium,morning,weekend,sleep,study
happy,low,night,weekday,study,sleep
stressed,medium,afternoon,weekday,exercise,relax
stressed,low,afternoon,weekend,socialize,relax
happy,low,morning,weekday,exercise,relax
happy,high,morning,weekday,exercise,exercise
tired,medium,morning,weekend,exercise,study
happy,high,evening,weekday,socialize,relax
stressed,medium,morning,weekday,exercise,study
happy,low,afternoon,weekend,sleep,study
happy,medium,afternoon,weekday,socialize,study
tired,high,morning,weekday,relax,exercise
stressed,high,evening,weekday,exercise,relax
stressed,medium,afternoon,weekday,relax,relax
happy,medium,night,weekday,socialize,sleep
stressed,high,night,weekday,exercise,sleep
tired,medium,afternoon,weekday,relax,study
tired,high,morning,weekday,socialize,exercise
stressed,high,afternoon,weekday,study,relax
stressed,medium,evening,weekday,exercise,relax
happy,medium,morning,weekday,relax,study
tired,low,afternoon,weekday,study,study
stressed,high,evening,weekend,exercise,socialize
stressed,medium,evening,weekend,study,socialize
happy,low,evening,weekday,socialize,relax
tired,high,afternoon,weekend,sleep,study
tired,low,afternoon,weekday,exercise,study
tired,low,night,weekend,relax,sleep
stressed,high,afternoon,weekday,study,relax
happy,medium,morning,weekend,relax,study
tired,medium,night,weekday,sleep,sleep
happy,medium,morning,weekday,sleep,study
tired,medium,night,weekend,socialize,sleep
stressed,medium,morning,weekday,socialize,study
happy,high,night,weekend,relax,sleep
happy,high,morning,weekend,sleep,exercise
stressed,low,morning,weekend,study,relax
tired,medium,evening,weekend,exercise,socialize
stressed,high,evening,weekend,socialize,socialize
happy,medium,morning,weekday,study,study
stressed,high,evening,weekday,study,relax
stressed,medium,afternoon,weekend,sleep,relax
happy,high,morning,weekend,study,exercise
tired,high,evening,weekday,study,relax
stressed,high,morning,weekend,socialize,exercise
tired,medium,night,weekend,relax,sleep
stressed,high,evening,weekday,study,relax
stressed,high,afternoon,weekday,sleep,relax
happy,low,night,weekday,relax,sleep
happy,medium,evening,weekend,sleep,socialize
stressed,low,evening,weekday,socialize,relax
stressed,low,night,weekend,study,sleep
stressed,medium,afternoon,weekday,sleep,relax
happy,low,night,weekend,exercise,sleep
happy,low,evening,weekend,exercise,socialize
happy,medium,evening,weekday,exercise,relax
tired,high,evening,weekday,relax,relax
tired,high,morning,weekend,study,exercise
stressed,medium,afternoon,weekend,exercise,relax
happy,low,afternoon,weekday,exercise,study
happy,low,afternoon,weekday,socialize,study
tired,low,evening,weekday,study,relax
stressed,high,evening,weekday,study,relax
stressed,low,afternoon,weekday,study,relax
happy,medium,morning,weekday,exercise,study
tired,medium,night,weekend,relax,sleep
stressed,high,afternoon,weekend,socialize,relax
stressed,high,afternoon,weekend,relax,relax
happy,high,morning,weekday,study,exercise
tired,medium,morning,weekend,study,study
tired,high,night,weekend,study,sleep
tired,low,night,weekday,socialize,sleep
stressed,medium,night,weekday,socialize,sleep
tired,low,morning,weekend,study,relax
stressed,medium,morning,weekday,relax,study
stressed,medium,afternoon,weekday,exercise,relax
stressed,high,night,weekday,exercise,sleep
stressed,low,morning,weekend,sleep,relax
stressed,high,morning,weekend,sleep,exercise
stressed,high,night,weekday,sleep,sleep
happy,low,morning,weekend,study,relax
happy,low,night,weekend,relax,sleep
happy,high,morning,weekday,socialize,exercise
happy,high,morning,weekend,socialize,exercise
stressed,low,afternoon,weekend,relax,relax
stressed,medium,afternoon,weekend,relax,relax
stressed,medium,afternoon,weekend,study,relax
tired,low,evening,weekday,exercise,relax
stressed,medium,evening,weekday,relax,relax
stressed,low,morning,weekend,relax,relax
stressed,medium,morning,weekday,exercise,study
stressed,medium,evening,weekend,socialize,socialize
tired,low,afternoon,weekend,socialize,study
happy,low,morning,weekday,sleep,relax
happy,low,morning,weekend,relax,relax
happy,high,morning,weekend,exercise,exercise
tired,low,night,weekend,socialize,sleep
tired,medium,afternoon,weekday,exercise,study
tired,medium,afternoon,weekend,relax,study
tired,high,afternoon,weekend,socialize,study
tired,medium,afternoon,weekend,sleep,study
tired,medium,evening,weekday,socialize,relax
stressed,medium,evening,weekday,socialize,relax
tired,low,evening,weekend,relax,socialize
stressed,medium,afternoon,weekend,exercise,relax
happy,medium,afternoon,weekend,study,study
happy,high,morning,weekend,sleep,exercise
tired,high,afternoon,weekday,exercise,study
stressed,low,evening,weekend,relax,socialize
tired,medium,afternoon,weekday,relax,study
happy,high,night,weekend,socialize,sleep
happy,low,night,weekday,relax,sleep
stressed,low,afternoon,weekend,exercise,relax
happy,medium,afternoon,weekday,exercise,study
tired,low,evening,weekend,socialize,socialize
stressed,high,night,weekday,relax,sleep
happy,high,night,weekend,relax,sleep
tired,medium,night,weekday,sleep,sleep
stressed,low,evening,weekend,exercise,socialize
tired,high,morning,weekend,sleep,exercise
tired,high,afternoon,weekday,study,study
happy,high,night,weekend,relax,sleep
stressed,low,night,weekday,relax,sleep
happy,low,afternoon,weekend,study,study
happy,medium,afternoon,weekday,study,study
stressed,low,morning,weekend,socialize,relax
